home_team,away_team,date,venue_id
Doncaster Renegades,Hull Stars,2024-03-24,2
Oldham Super Kings,Rochdale Hurricanes,2024-04-04,2
Blackpool Sixers,Castleford Thunder,2024-05-05,0
Blackburn Knight Riders,Huddersfield Heat,2024-05-25,0
Blackpool Sixers,Peterborough Strikers,2024-05-24,2
Blackburn Knight Riders,Rotherham Scorchers,2024-03-26,4
Rochdale Hurricanes,Peterborough Strikers,2024-04-02,4
Doncaster Renegades,Castleford Thunder,2024-05-04,2
Huddersfield Heat,Peterborough Strikers,2024-05-02,3
Peterborough Strikers,Huddersfield Heat,2024-05-24,1
Hull Stars,Peterborough Strikers,2024-05-19,0
Rotherham Scorchers,Huddersfield Heat,2024-04-03,1
Hull Stars,Peterborough Strikers,2024-03-27,4
Hull Stars,Oldham Super Kings,2024-04-20,5
Huddersfield Heat,Doncaster Renegades,2024-03-29,3
Doncaster Renegades,Rotherham Scorchers,2024-05-23,1
Hull Stars,Castleford Thunder,2024-03-23,1
Doncaster Renegades,Peterborough Strikers,2024-04-16,5
Rotherham Scorchers,Doncaster Renegades,2024-05-16,6
Castleford Thunder,Blackpool Sixers,2024-05-17,1
Rochdale Hurricanes,Peterborough Strikers,2024-04-06,1
Rotherham Scorchers,Peterborough Strikers,2024-04-16,4
Rochdale Hurricanes,Rotherham Scorchers,2024-05-12,0
Oldham Super Kings,Doncaster Renegades,2024-04-05,2
Oldham Super Kings,Doncaster Renegades,2024-05-07,2
Oldham Super Kings,Rotherham Scorchers,2024-05-10,1
Hull Stars,Rotherham Scorchers,2024-04-29,2
Peterborough Strikers,Doncaster Renegades,2024-04-14,5
Hull Stars,Blackburn Knight Riders,2024-04-10,0
Huddersfield Heat,Oldham Super Kings,2024-05-08,2
Hull Stars,Blackburn Knight Riders,2024-05-17,6
Hull Stars,Doncaster Renegades,2024-05-14,5
Huddersfield Heat,Hull Stars,2024-05-17,4
Blackpool Sixers,Huddersfield Heat,2024-04-27,2
Hull Stars,Rotherham Scorchers,2024-05-20,2
Huddersfield Heat,Castleford Thunder,2024-04-03,0
Oldham Super Kings,Blackburn Knight Riders,2024-05-02,5
Hull Stars,Rochdale Hurricanes,2024-04-08,3
Blackpool Sixers,Hull Stars,2024-05-10,5
Rochdale Hurricanes,Blackpool Sixers,2024-05-15,2
Doncaster Renegades,Peterborough Strikers,2024-03-28,6
Oldham Super Kings,Hull Stars,2024-04-17,6
Huddersfield Heat,Blackpool Sixers,2024-05-15,0
Castleford Thunder,Blackpool Sixers,2024-05-29,6
Blackburn Knight Riders,Castleford Thunder,2024-05-10,3
Rochdale Hurricanes,Huddersfield Heat,2024-05-10,0
Peterborough Strikers,Huddersfield Heat,2024-05-29,3
Blackburn Knight Riders,Huddersfield Heat,2024-05-26,1
Huddersfield Heat,Peterborough Strikers,2024-04-13,3
Castleford Thunder,Doncaster Renegades,2024-03-31,5
Peterborough Strikers,Oldham Super Kings,2024-04-29,6
Huddersfield Heat,Blackpool Sixers,2024-04-21,1
Blackpool Sixers,Peterborough Strikers,2024-04-07,4
Blackpool Sixers,Huddersfield Heat,2024-04-20,4
Rotherham Scorchers,Doncaster Renegades,2024-04-19,0
Huddersfield Heat,Castleford Thunder,2024-03-30,0
Doncaster Renegades,Rochdale Hurricanes,2024-05-25,0
Blackburn Knight Riders,Doncaster Renegades,2024-05-11,2
Blackburn Knight Riders,Rotherham Scorchers,2024-05-17,6
Peterborough Strikers,Oldham Super Kings,2024-04-09,5
Hull Stars,Blackpool Sixers,2024-04-12,2
Oldham Super Kings,Doncaster Renegades,2024-04-11,3
Rochdale Hurricanes,Blackburn Knight Riders,2024-05-23,1
Oldham Super Kings,Huddersfield Heat,2024-05-08,2
Oldham Super Kings,Doncaster Renegades,2024-04-12,5
Rotherham Scorchers,Hull Stars,2024-05-02,4
Huddersfield Heat,Oldham Super Kings,2024-05-11,2
Peterborough Strikers,Doncaster Renegades,2024-05-06,1
Doncaster Renegades,Rotherham Scorchers,2024-05-18,0
Doncaster Renegades,Huddersfield Heat,2024-05-22,2
Rochdale Hurricanes,Rotherham Scorchers,2024-04-06,3
Doncaster Renegades,Blackburn Knight Riders,2024-04-05,0
Oldham Super Kings,Blackburn Knight Riders,2024-05-06,0
Peterborough Strikers,Huddersfield Heat,2024-04-08,6
